,Mobiles Name,Prices,Reviews
0,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)","₹24,999","Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)"
1,"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999","Motorola G34 5G (Ocean Green, 128 GB)"
2,"Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)","₹22,999","Motorola Edge 50 Fusion (Marshmallow Blue, 128 GB)"
3,"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999","Motorola G34 5G (Charcoal Black, 128 GB)"
4,"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999","Motorola G34 5G (Ice Blue, 128 GB)"
5,"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999","POCO M6 Pro 5G (Power Black, 128 GB)"
6,"Apple iPhone 15 (Blue, 128 GB)","₹64,999","Apple iPhone 15 (Blue, 128 GB)"
7,"POCO M6 Pro 5G (Forest Green, 128 GB)","₹9,999","POCO M6 Pro 5G (Forest Green, 128 GB)"
8,"POCO C65 (Pastel Green, 128 GB)","₹6,799","POCO C65 (Pastel Green, 128 GB)"
9,"POCO C65 (Pastel Blue, 128 GB)","₹6,799","POCO C65 (Pastel Blue, 128 GB)"
10,"POCO C65 (Matte Black, 128 GB)","₹6,799","POCO C65 (Matte Black, 128 GB)"
11,"POCO C61 (Diamond Dust Black, 128 GB)","₹6,999","POCO C61 (Diamond Dust Black, 128 GB)"
12,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹16,399","OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)"
13,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹18,678","OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)"
14,"POCO C65 (Pastel Blue, 128 GB)","₹7,499","POCO C65 (Pastel Blue, 128 GB)"
15,"MOTOROLA g24 Power (Ink blue, 128 GB)","₹7,999","MOTOROLA g24 Power (Ink blue, 128 GB)"
16,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)","₹16,399","OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)"
17,"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,308","OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)"
18,"POCO C65 (Pastel Green, 256 GB)","₹8,499","POCO C65 (Pastel Green, 256 GB)"
19,"realme 12x 5G (Twilight Purple, 128 GB)","₹14,999","realme 12x 5G (Twilight Purple, 128 GB)"
20,"realme C51 (Carbon Black, 64 GB)","₹8,699","realme C51 (Carbon Black, 64 GB)"
21,"realme C51 (Mint Green, 128 GB)","₹9,499","realme C51 (Mint Green, 128 GB)"
22,"realme C51 (Carbon Black, 128 GB)","₹9,499","realme C51 (Carbon Black, 128 GB)"
23,"realme 12x 5G (Woodland Green, 128 GB)","₹13,499","realme 12x 5G (Woodland Green, 128 GB)"
